Loan_ID,Year_Signed,Lender,Loan_Amount_USD,Loan_Amount_NGN,Currency,Interest_Rate_%,Term_Years,Grace_Period_Years,Stated_Purpose,Project_Name,Ministry_Agency,Primary_Contractor,Contract_Value_USD,Disbursement_Status_%,Project_Status,Physical_Outcome,Operational_Status,Benchmark_Cost_USD,Cost_Variance_%,Estimated_Overcharge_USD,Source_Document,Repayment_Outstanding_USD,Red_Flags,FOI_Request_Status
CN-001,2010,China Exim Bank,500000000,75000000000,USD,2.5,20,5,Railway Construction,Abuja-Kaduna Railway,Federal Ministry of Transportation,CCECC,500000000,100,Completed,186km rail line operational,Operational but not profitable; security issues,300000000,67,"200,000,000",Reuters 2010; DMO Reports,346150000,"Security issues; fares don't cover costs; low patronage",Not Requested
CN-002,2017,China Exim Bank,1500000000,540000000000,USD,2.5,20,5,Railway Construction,Lagos-Ibadan Railway Phase 1,Federal Ministry of Transportation,CCECC,1500000000,100,Completed,157km rail line operational,Operational since 2021,"750,000,000",100,"750,000,000",Ecofinagency; Reuters,"1,042,000,000",Contractor later blacklisted by World Bank; cost 2x benchmark,Partial
CN-003,2010,China Exim Bank,823000000,123450000000,USD,2.5,20,5,Urban Rail Transit,Abuja Light Rail Mass Transit,Federal Capital Territory Admin,CCECC,823000000,100,Partially Complete,Only 5km regularly operational after 10+ years,Minimal operations; largely dormant,500000000,65,"323,000,000",Reuters; News reports,"423,080,000","Massive cost vs. minimal utility; vandalism; low patronage",Not Requested
CN-004,2023,China Exim Bank,11000000000,18150000000000,USD,TBD,TBD,TBD,Railway/Highway,Lagos-Calabar Coastal Rail (proposed),Federal Ministry of Works,TBD,11000000000,0,Proposed,"Pivoted to highway; now ₦15.6T ($13B) to Hitech",Not Started,6000000000,83,"5,000,000,000",SWI; Businessday; Atiku statements,0,"Project pivoted to highway (non-rail); awarded to Hitech (Chagoury) without competitive bidding; cost $18.5M/km vs. $3-7M/km benchmark",Active - Atiku & CSOs demanding disclosure
WB-001,2020,World Bank (IDA),114280000,45712000000,USD,1.5,30,5,COVID-19 Emergency Response,Nigeria COVID-19 Action Recovery & Economic Stimulus (NG-CARES),Federal Ministry of Health / States,Various state implementers,114280000,100,Completed,Medical equipment; testing support; state programs,Funds disbursed,100000000,14,"14,280,000",World Bank Project Portal; Reuters,80000000,Health workers still unpaid despite funding; accountability gaps in state-level spending,Requested by CSOs
WB-002,2018,World Bank (IDA),750000000,270000000000,USD,1.5,30,5,State Fiscal Reforms,State Fiscal Transparency & Sustainability (SFTAS),Federal Ministry of Finance / States,State governments (performance-based grants),750000000,~80,Ongoing,Performance-based grants to states meeting transparency targets,Mixed results; 34 of 36 states scored below average by 2025,750000000,0,0,World Bank; The Nation; FIJ Reports,200000000,"Ephemeral improvements; transparency scores dropped after incentives ended; Sokoto and others regressed",Partial
WB-003,2020,World Bank (IDA/IBRD),1250000000,450000000000,USD,Variable,25,5,Power Sector Recovery,Power Sector Recovery Program (PSRP),Federal Ministry of Power,TCN; DISCOs; Various contractors,1250000000,~70,Ongoing,Grid improvements; metering; tariff reforms,Power still unreliable; ₦4T debt persists; constant collapses,"1,000,000,000",25,"250,000,000",World Bank Documents; News,"900,000,000","Despite $1.25B (+$750M additional 2023), power sector remains in crisis; subsidies persist; grid collapses continue",Requested by BudgIT
EB-001,2022,International Capital Markets,4000000000,6600000000000,USD,8.375-9.248,7-30,0,Budget Deficit Financing & Debt Refinancing,2022 Eurobond (3 tranches),Federal Ministry of Finance / DMO,N/A (bond proceeds),4000000000,100,Disbursed,Funds allocated to budget deficit and refinancing maturing debt,N/A (financial instrument),4000000000,0,0,ThisDay Live; DMO Statements,4000000000,"No project-specific accounting; aggregated use unclear; high interest rates (8-9%) vs. lower domestic borrowing costs; Atiku & CSOs criticize lack of transparency",Active - Demands for dollar-by-dollar breakdown
EB-002,2017-2021,International Capital Markets,10000000000,3600000000000,USD,6-8,7-30,0,Budget Support & Projects,Various Eurobond Issues (multiple tranches),Federal Ministry of Finance / DMO,N/A (bond proceeds),10000000000,100,Disbursed,Budget deficits and project financing (aggregated),N/A (financial instrument),10000000000,0,0,Various news; DMO,8500000000,No detailed breakdown published; appears to be debt-for-debt refinancing rather than new projects,Requested by CSOs
FR-001,2022,AFD (Agence Française de Développement),100000000,165000000000,EUR,1-2,20,3,Green Finance / Climate Projects,Green Finance Credit Line,Bank of Industry (BOI),Private sector (SMEs),100000000,~50,Ongoing,Credit line for climate-focused businesses,Partial disbursement to private sector,100000000,0,0,BOI Press Release; AFD Nigeria,70000000,Directed to private sector; limited public visibility on final beneficiaries; terms not fully disclosed,Not Requested
